LGA_CODE_2016,LGA_NAME_2016,STATE_CODE_2016,STATE_NAME_2016,STATE_ABV_2016
89399,Unincorporated ACT,8,Australian Capital Territory,ACT
89799,Migratory - Offshore - Shipping (ACT),8,Australian Capital Territory,ACT
89499,No usual address (ACT),8,Australian Capital Territory,ACT
19499,No usual address (NSW),1,New South Wales,NSW
10050,Albury (C),1,New South Wales,NSW
13340,Greater Hume Shire (A),1,New South Wales,NSW
10130,Armidale Regional (A),1,New South Wales,NSW
14170,Inner West (A),1,New South Wales,NSW
11400,Cabonne (A),1,New South Wales,NSW
16260,Parramatta (C),1,New South Wales,NSW
12380,Cumberland (A),1,New South Wales,NSW
10250,Ballina (A),1,New South Wales,NSW
10300,Balranald (A),1,New South Wales,NSW
14000,Hornsby (A),1,New South Wales,NSW
11570,Canterbury-Bankstown (A),1,New South Wales,NSW
16380,Port Macquarie-Hastings (A),1,New South Wales,NSW
10470,Bathurst Regional (A),1,New South Wales,NSW
17420,The Hills Shire (A),1,New South Wales,NSW
10550,Bega Valley (A),1,New South Wales,NSW
10600,Bellingen (A),1,New South Wales,NSW
15700,Nambucca (A),1,New South Wales,NSW
10650,Berrigan (A),1,New South Wales,NSW
10750,Blacktown (C),1,New South Wales,NSW
18450,Wollongong (C),1,New South Wales,NSW
10800,Bland (A),1,New South Wales,NSW
10850,Blayney (A),1,New South Wales,NSW
10900,Blue Mountains (C),1,New South Wales,NSW
10950,Bogan (A),1,New South Wales,NSW
17040,Snowy Monaro Regional (A),1,New South Wales,NSW
13910,Hilltops (A),1,New South Wales,NSW
11100,Botany Bay (C),1,New South Wales,NSW
11150,Bourke (A),1,New South Wales,NSW
11200,Brewarrina (A),1,New South Wales,NSW
11250,Broken Hill (C),1,New South Wales,NSW
11300,Burwood (A),1,New South Wales,NSW
11350,Byron (A),1,New South Wales,NSW
11450,Camden (A),1,New South Wales,NSW
11500,Campbelltown (C) (NSW),1,New South Wales,NSW
11520,Canada Bay (A),1,New South Wales,NSW
12930,Georges River (A),1,New South Wales,NSW
11600,Carrathool (A),1,New South Wales,NSW
15560,Murrumbidgee (A),1,New South Wales,NSW
16610,Richmond Valley (A),1,New South Wales,NSW
11700,Central Darling (A),1,New South Wales,NSW
11720,Cessnock (C),1,New South Wales,NSW
11730,Clarence Valley (A),1,New South Wales,NSW
11750,Cobar (A),1,New South Wales,NSW
11800,Coffs Harbour (C),1,New South Wales,NSW
12730,Edward River (A),1,New South Wales,NSW
12000,Coolamon (A),1,New South Wales,NSW
