LGA Name,Male,Female,Median Age,0-14,15-24,25-34,35-44,45-54,55-64,65-74,75-84,85+,Married,Bachelor Degree level and above,Advanced Diploma and Diploma level,Australia,"No Religion, so described",Catholic,English only spoken at home,Worked full-time,Worked part-time,Professionals,Clerical and Administrative Workers,Technicians and Trades Workers,PersonalMedianIncomeWeekly,FamilyMedianIncomeWeekly,People who travelled to work by public transport,People who travelled to work by car as driver or passenger,Couple family without children,Couple family with children
Unincorporated ACT,49.2,50.8,35,18.7,14.1,16.7,14.7,12.8,10.4,7.5,3.6,1.6,47.9,37.2,9.2,68,36.2,22.3,72.7,63.5,26.4,30.5,16.9,9.6,1000,2445,7.1,71.3,37.7,47.1
Albury (C),48.3,51.7,39,18.8,13.3,12.7,12.1,12.7,12.5,9.6,5.7,2.6,45.7,15.9,8.5,81.4,27.5,25.6,86.4,55.3,32.9,19.7,13.1,14.7,642,1532,0.9,79.8,40.8,40.2
Greater Hume Shire (A),50.1,49.9,44,21.6,10.4,8.7,10.4,13.7,15.2,12,5.4,2.5,55.3,11.4,8.6,86.2,21.3,21.8,91.8,56.4,32.5,13.3,11.3,13.9,600,1439,0.4,66.4,44.1,42.4
Armidale Regional (A),48.3,51.7,36,18.1,18.2,11.8,10.6,12.4,12,9.3,5.4,2.2,42.9,23.2,7.2,79.5,27.4,20.2,84.7,53.4,33.4,23.3,12.4,11.1,561,1465,0.7,71.6,41.5,38.8
Inner West (A),48.7,51.3,36,15.3,10.7,20.3,17.4,13.9,10.2,6.7,3.8,1.7,38.7,41.7,8.9,58.1,40.4,22.4,64.4,64.8,26.2,37.6,12.8,8.5,957,2498,38.2,40,41.2,42.6
Cabonne (A),50,50,43,21.5,10.6,9,11.7,14.1,13.3,11.7,5.9,2.3,56.1,14.3,8.6,86.3,17.5,27.9,91.3,60,29.8,16.5,11.8,14.4,631,1618,0.4,69.7,41.9,45.2
Parramatta (C),50,50,34,18.4,11.7,20.3,15.8,11.8,9.9,6.7,3.8,1.7,55.4,37.2,9.3,44.7,24.5,20.8,41.7,62.9,26,31.7,15.4,10.3,722,1933,27.6,58.8,32.9,52.2
Cumberland (A),51.4,48.6,32,20.5,13.7,19.5,14.1,11.4,9.5,6.2,3.4,1.5,53.3,22.2,8.5,41.7,13.8,24,28.9,56.9,28.5,18.9,14.2,15.4,501,1436,25.7,62.4,26.8,54.5
Ballina (A),48.2,51.8,48,16.7,9.5,8.6,11.2,13.8,15.4,13.1,7.7,4.2,48.9,18.8,9.5,81.3,30.2,21.9,89.1,50.6,38.5,22.3,11.6,13.7,601,1426,1,73.9,45.9,36.2
Balranald (A),51.4,48.6,41,21,11.7,10.2,11.8,12.5,16.8,8.9,5.7,1.5,49.9,7.1,4.4,81.7,20.8,35.7,83.2,59.4,29.2,8.5,10.7,11.9,624,1438,0.6,66.7,43.2,41.1
Hornsby (A),48.8,51.2,40,19.5,12.7,10.3,14.5,14.8,12.1,8.5,5,2.7,58.8,38.4,10.6,59.5,28.9,21.4,65.3,60.4,30.8,33.7,14.6,9.8,793,2372,27.2,57.5,30.9,56.5
Canterbury-Bankstown (A),49.8,50.2,35,20.5,13.4,15.3,13.5,12.7,10.7,7.2,4.6,2.2,51.3,19.7,8.6,49.6,15,23.4,34.1,56.8,29.8,18.9,15.1,14,502,1437,22.1,65.3,26.9,52.8
Port Macquarie-Hastings (A),48,52,48,16.7,9.6,8.5,10.3,13,14.3,15,8.9,3.8,50.5,13.4,9.1,81.4,25.6,23.1,90.8,52.4,35.6,19.7,13.2,14.7,540,1300,0.7,76.3,49.1,33.4
Bathurst Regional (A),50.1,49.9,37,19.7,14.8,12.5,11.8,12.7,12.1,9.3,4.9,2.2,45,16.1,8.1,83.7,22.4,31.1,87,57.8,30.6,18.9,12,14.5,646,1632,0.7,76.6,38.3,42.5
The Hills Shire (A),49.3,50.7,38,21.3,13.4,10.4,15,14.5,11.8,8.6,3.6,1.3,61.6,33.5,11.1,61.7,21.2,28.9,65.3,62.3,29.4,29,16.2,10.4,827,2464,16.1,69.3,28.8,60.4
Bega Valley (A),48.9,51.1,51,15.8,9,7.5,9.4,14,18.5,15.2,7.7,3,49.3,15,8.3,79.5,35.1,17.9,89.5,50.1,38.1,16,10.9,15.4,538,1242,0.7,69.9,52.7,32.2
Bellingen (A),48.3,51.7,49,17.4,8.8,7.6,10.5,14.4,17.7,13.6,7.3,2.9,44.9,18.6,9.3,80.5,39.5,14.7,90.4,45.3,41.9,21.4,10.2,14,515,1218,0.6,66.9,46.1,33.9
Nambucca (A),49,51,51,16.6,9.2,7.5,9.1,12.7,17.3,15.7,8.2,3.7,44.9,10.4,7.4,81.5,29.2,19.4,90.1,45.5,38.8,15.9,10.6,14.9,467,1080,0.8,71.6,48.5,30.2
Berrigan (A),49.9,50.1,49,17.1,8.9,8.9,10,11.1,15.4,16.2,8.7,3.7,52.4,8.6,6.6,81.3,22.7,26.5,87.4,54.9,32.8,12.2,10.1,13.2,524,1251,0.5,67.3,52,34
Blacktown (C),49.7,50.3,33,22.8,13.7,15.5,15.3,12.5,10,6.3,2.8,1.1,52.3,22,8.8,54.1,15,29.2,53.7,62.7,25.3,19,16.4,12.7,672,1817,19.7,70.1,24.8,55.5
Wollongong (C),49.4,50.6,39,17.9,14,12.8,12.7,13,12,9.2,5.9,2.6,46.7,19.9,9,72.7,27.8,25.6,78.2,55.2,32.7,23.2,13.6,14.8,584,1710,7.5,73.6,36.3,44.6
Bland (A),49.9,50.1,43,20.6,10.1,10,11.4,12,14.5,10.5,7.5,3.5,53.9,8.5,5.3,82.2,13.8,26,86.2,61,29,10.5,9.4,13.8,580,1360,3.1,60.2,46,37.4
Blayney (A),49.8,50.2,42,20.6,10.8,9.8,11.8,14.2,14,10.4,6,2.3,50.4,13,7.4,85.8,20.8,28.6,91.5,58.1,30.5,14.2,11.4,14.3,620,1581,0.8,71,41.6,41.8
Blue Mountains (C),48.3,51.7,44,18.3,10.9,9,12.6,14.3,15.3,12,5.3,2.1,49.1,27.5,11.7,78.1,35.7,19.7,89.3,55.8,34.9,28.7,13.4,12.9,688,1866,11.8,66.9,39.7,44
Bogan (A),50.4,49.6,40,20.5,12,11.8,11.1,14.6,10.4,10.3,6.9,2.4,46.5,9.1,5.4,83.3,11.5,34.9,87,64.4,26.1,10.2,8.9,13.2,634,1561,4.7,62.6,42.2,40.3
Snowy Monaro Regional (A),51.7,48.3,43,17.1,11.1,11,12.2,15.1,14.3,11.2,5.6,2.3,47.2,14.9,8.4,77.3,29.8,23.6,85.4,60.9,30.1,13.7,11.5,14.1,675,1569,1.8,67.8,45.9,39.3
Hilltops (A),49.2,50.8,44,19.6,11.1,9,10.9,13.2,13.7,13,6.8,2.8,49.3,9.9,7,85.6,15.7,34.4,90.1,56.9,31.8,11.9,10.7,14,538,1261,0.4,69.1,44.5,37.1
Botany Bay (C),49.8,50.2,35,16.9,13.8,18.7,15.3,12.5,9.5,7,4.4,1.6,44.9,27,9.1,48.6,22.1,29.7,49.2,63,26.7,22.4,15.3,12.2,720,1921,26.9,55.8,33.6,47.6
Bourke (A),49.5,50.5,36,23.7,10.6,14,11,15.4,11.6,8.1,4,1.5,38.1,9.9,7.2,75.5,12.7,36.5,78,67.7,21.8,16.1,9.8,10.8,719,1562,0.4,62.3,36.6,38.4
